Name,Platform,Year,Genre,Publisher,Region,Sales,Global_Sales
,Wii,2006,Sports,Nintendo,North America,41.49,82.74
,Wii,2006,Sports,Nintendo,Europe,29.02,82.74
,Wii,2006,Sports,Nintendo,Japan,3.77,82.74
,Wii,2006,Sports,Nintendo,Other,8.46,82.74
,NES,1985,Platform,Nintendo,North America,29.08,40.24
,NES,1985,Platform,Nintendo,Europe,3.58,40.24
,NES,1985,Platform,Nintendo,Japan,6.81,40.24
,NES,1985,Platform,Nintendo,Other,0.77,40.24
,Wii,2008,Racing,Nintendo,North America,15.85,35.82
,Wii,2008,Racing,Nintendo,Europe,12.88,35.82
,Wii,2008,Racing,Nintendo,Japan,3.79,35.82
,Wii,2008,Racing,Nintendo,Other,3.31,35.82
,Wii,2009,Sports,Nintendo,North America,15.75,33
,Wii,2009,Sports,Nintendo,Europe,11.01,33
,Wii,2009,Sports,Nintendo,Japan,3.28,33
,Wii,2009,Sports,Nintendo,Other,2.96,33
,GB,1996,Role-Playing,Nintendo,North America,11.27,31.37
,GB,1996,Role-Playing,Nintendo,Europe,8.89,31.37
,GB,1996,Role-Playing,Nintendo,Japan,10.22,31.37
,GB,1996,Role-Playing,Nintendo,Other,1,31.37
,GB,1989,Puzzle,Nintendo,North America,23.2,30.26
,GB,1989,Puzzle,Nintendo,Europe,2.26,30.26
,GB,1989,Puzzle,Nintendo,Japan,4.22,30.26
,GB,1989,Puzzle,Nintendo,Other,0.58,30.26
,DS,2006,Platform,Nintendo,North America,11.38,30.01
,DS,2006,Platform,Nintendo,Europe,9.23,30.01
,DS,2006,Platform,Nintendo,Japan,6.5,30.01
,DS,2006,Platform,Nintendo,Other,2.9,30.01
,Wii,2006,Misc,Nintendo,North America,14.03,29.02
,Wii,2006,Misc,Nintendo,Europe,9.2,29.02
,Wii,2006,Misc,Nintendo,Japan,2.93,29.02
,Wii,2006,Misc,Nintendo,Other,2.85,29.02
,Wii,2009,Platform,Nintendo,North America,14.59,28.62
,Wii,2009,Platform,Nintendo,Europe,7.06,28.62
,Wii,2009,Platform,Nintendo,Japan,4.7,28.62
,Wii,2009,Platform,Nintendo,Other,2.26,28.62
,NES,1984,Shooter,Nintendo,North America,26.93,28.31
,NES,1984,Shooter,Nintendo,Europe,0.63,28.31
,NES,1984,Shooter,Nintendo,Japan,0.28,28.31
,NES,1984,Shooter,Nintendo,Other,0.47,28.31
,DS,2005,Simulation,Nintendo,North America,9.07,24.76
,DS,2005,Simulation,Nintendo,Europe,11,24.76
,DS,2005,Simulation,Nintendo,Japan,1.93,24.76
,DS,2005,Simulation,Nintendo,Other,2.75,24.76
,DS,2005,Racing,Nintendo,North America,9.81,23.42
,DS,2005,Racing,Nintendo,Europe,7.57,23.42
,DS,2005,Racing,Nintendo,Japan,4.13,23.42
,DS,2005,Racing,Nintendo,Other,1.92,23.42
,GB,1999,Role-Playing,Nintendo,North America,9,23.1
,GB,1999,Role-Playing,Nintendo,Europe,6.18,23.1
,GB,1999,Role-Playing,Nintendo,Japan,7.2,23.1
,GB,1999,Role-Playing,Nintendo,Other,0.71,23.1
,Wii,2007,Sports,Nintendo,North America,8.94,22.72
,Wii,2007,Sports,Nintendo,Europe,8.03,22.72
,Wii,2007,Sports,Nintendo,Japan,3.6,22.72
,Wii,2007,Sports,Nintendo,Other,2.15,22.72
,Wii,2009,Sports,Nintendo,North America,9.09,22
,Wii,2009,Sports,Nintendo,Europe,8.59,22
,Wii,2009,Sports,Nintendo,Japan,2.53,22
,Wii,2009,Sports,Nintendo,Other,1.79,22
,X360,2010,Misc,Microsoft Game Studios,North America,14.97,21.82
,X360,2010,Misc,Microsoft Game Studios,Europe,4.94,21.82
,X360,2010,Misc,Microsoft Game Studios,Japan,0.24,21.82
,X360,2010,Misc,Microsoft Game Studios,Other,1.67,21.82
,PS3,2013,Action,Take-Two Interactive,North America,7.01,21.4
,PS3,2013,Action,Take-Two Interactive,Europe,9.27,21.4
,PS3,2013,Action,Take-Two Interactive,Japan,0.97,21.4
,PS3,2013,Action,Take-Two Interactive,Other,4.14,21.4
,PS2,2004,Action,Take-Two Interactive,North America,9.43,20.81
,PS2,2004,Action,Take-Two Interactive,Europe,0.4,20.81
,PS2,2004,Action,Take-Two Interactive,Japan,0.41,20.81
,PS2,2004,Action,Take-Two Interactive,Other,10.57,20.81
,SNES,1990,Platform,Nintendo,North America,12.78,20.61
,SNES,1990,Platform,Nintendo,Europe,3.75,20.61
,SNES,1990,Platform,Nintendo,Japan,3.54,20.61
,SNES,1990,Platform,Nintendo,Other,0.55,20.61
,DS,2005,Misc,Nintendo,North America,4.75,20.22
,DS,2005,Misc,Nintendo,Europe,9.26,20.22
,DS,2005,Misc,Nintendo,Japan,4.16,20.22
,DS,2005,Misc,Nintendo,Other,2.05,20.22
,DS,2006,Role-Playing,Nintendo,North America,6.42,18.36
,DS,2006,Role-Playing,Nintendo,Europe,4.52,18.36
,DS,2006,Role-Playing,Nintendo,Japan,6.04,18.36
,DS,2006,Role-Playing,Nintendo,Other,1.37,18.36
,GB,1989,Platform,Nintendo,North America,10.83,18.14
,GB,1989,Platform,Nintendo,Europe,2.71,18.14
,GB,1989,Platform,Nintendo,Japan,4.18,18.14
,GB,1989,Platform,Nintendo,Other,0.42,18.14
,NES,1988,Platform,Nintendo,North America,9.54,17.28
,NES,1988,Platform,Nintendo,Europe,3.44,17.28
,NES,1988,Platform,Nintendo,Japan,3.84,17.28
,NES,1988,Platform,Nintendo,Other,0.46,17.28
,X360,2013,Action,Take-Two Interactive,North America,9.63,16.38
,X360,2013,Action,Take-Two Interactive,Europe,5.31,16.38
,X360,2013,Action,Take-Two Interactive,Japan,0.06,16.38
,X360,2013,Action,Take-Two Interactive,Other,1.38,16.38
,PS2,2002,Action,Take-Two Interactive,North America,8.41,16.15
,PS2,2002,Action,Take-Two Interactive,Europe,5.49,16.15
,PS2,2002,Action,Take-Two Interactive,Japan,0.47,16.15
,PS2,2002,Action,Take-Two Interactive,Other,1.78,16.15
,GBA,2002,Role-Playing,Nintendo,North America,6.06,15.85
,GBA,2002,Role-Playing,Nintendo,Europe,3.9,15.85
,GBA,2002,Role-Playing,Nintendo,Japan,5.38,15.85
,GBA,2002,Role-Playing,Nintendo,Other,0.5,15.85
,DS,2010,Role-Playing,Nintendo,North America,5.57,15.32
,DS,2010,Role-Playing,Nintendo,Europe,3.28,15.32
,DS,2010,Role-Playing,Nintendo,Japan,5.65,15.32
,DS,2010,Role-Playing,Nintendo,Other,0.82,15.32
,DS,2005,Puzzle,Nintendo,North America,3.44,15.3
,DS,2005,Puzzle,Nintendo,Europe,5.36,15.3
,DS,2005,Puzzle,Nintendo,Japan,5.32,15.3
,DS,2005,Puzzle,Nintendo,Other,1.18,15.3
,PS2,2001,Racing,Sony Computer Entertainment,North America,6.85,14.98
,PS2,2001,Racing,Sony Computer Entertainment,Europe,5.09,14.98
,PS2,2001,Racing,Sony Computer Entertainment,Japan,1.87,14.98
,PS2,2001,Racing,Sony Computer Entertainment,Other,1.16,14.98
,X360,2011,Shooter,Activision,North America,9.03,14.76
,X360,2011,Shooter,Activision,Europe,4.28,14.76
,X360,2011,Shooter,Activision,Japan,0.13,14.76
,X360,2011,Shooter,Activision,Other,1.32,14.76
,GB,1998,Role-Playing,Nintendo,North America,5.89,14.64
,GB,1998,Role-Playing,Nintendo,Europe,5.04,14.64
,GB,1998,Role-Playing,Nintendo,Japan,3.12,14.64
,GB,1998,Role-Playing,Nintendo,Other,0.59,14.64
,X360,2010,Shooter,Activision,North America,9.67,14.64
,X360,2010,Shooter,Activision,Europe,3.73,14.64
,X360,2010,Shooter,Activision,Japan,0.11,14.64
,X360,2010,Shooter,Activision,Other,1.13,14.64
,3DS,2013,Role-Playing,Nintendo,North America,5.17,14.35
,3DS,2013,Role-Playing,Nintendo,Europe,4.05,14.35
